日期,传播渠道,阅读人数,阅读次数,分享人数,分享次数
2023-12-14,公众号消息,12162,13349,232,278
2023-12-14,好友转发,816,1037,161,297
2023-12-14,朋友圈,1713,1897,43,53
2023-12-14,朋友在看,4,5,0,0
2023-12-14,推荐,10,10,0,0
2023-12-14,搜一搜,5,5,0,0
2023-12-14,历史消息,51,52,4,8
2023-12-14,其他,2,2,0,0
2023-12-14,全部,14589,16357,432,636
2023-12-15,公众号消息,6451,7040,46,49
2023-12-15,好友转发,465,553,13,21
2023-12-15,朋友圈,993,1096,16,18
2023-12-15,朋友在看,27,28,1,1
2023-12-15,推荐,7,8,0,0
2023-12-15,搜一搜,19,24,0,0
2023-12-15,历史消息,47,58,2,2
2023-12-15,其他,11,11,0,0
2023-12-15,全部,7983,8818,78,91
2023-12-16,公众号消息,23,24,0,0
2023-12-16,好友转发,17,17,0,0
2023-12-16,朋友圈,2,2,0,0
2023-12-16,朋友在看,7,7,0,0
2023-12-16,搜一搜,17,18,0,0
2023-12-16,历史消息,9,9,0,0
2023-12-16,全部,75,77,0,0
2023-12-17,公众号消息,6,6,0,0
2023-12-17,好友转发,6,6,0,0
2023-12-17,朋友圈,1,1,0,0
2023-12-17,搜一搜,3,3,0,0
2023-12-17,历史消息,8,8,0,0
2023-12-17,全部,24,24,0,0
2023-12-18,公众号消息,6,9,0,0
2023-12-18,好友转发,4,4,0,0
2023-12-18,朋友圈,1,1,0,0
2023-12-18,搜一搜,2,2,0,0
2023-12-18,历史消息,2,2,0,0
2023-12-18,其他,1,1,0,0
2023-12-18,全部,15,19,0,0
2023-12-19,朋友圈,3,3,0,0
2023-12-19,搜一搜,1,1,0,0
2023-12-19,历史消息,2,2,0,0
2023-12-19,全部,6,6,0,0
2023-12-20,公众号消息,3,3,0,0
2023-12-20,好友转发,1,1,0,0
2023-12-20,历史消息,2,2,0,0
2023-12-20,全部,6,6,0,0
