日期,传播渠道,阅读人数,阅读次数,分享人数,分享次数
2023-12-29,公众号消息,2456,2687,117,145
2023-12-29,好友转发,1906,3272,747,989
2023-12-29,朋友圈,7262,8504,435,497
2023-12-29,朋友在看,26,27,4,4
2023-12-29,推荐,82,89,3,3
2023-12-29,搜一搜,3,3,1,1
2023-12-29,历史消息,61,73,7,14
2023-12-29,其他,10,11,0,0
2023-12-29,全部,11336,14666,1284,1653
2023-12-30,公众号消息,227,251,9,9
2023-12-30,好友转发,648,997,116,124
2023-12-30,朋友圈,3790,4268,183,205
2023-12-30,朋友在看,95,101,3,3
2023-12-30,推荐,114,125,4,4
2023-12-30,搜一搜,1,1,0,0
2023-12-30,历史消息,27,27,2,2
2023-12-30,其他,8,9,2,2
2023-12-30,全部,4853,5779,317,349
2023-12-31,公众号消息,22,25,2,2
2023-12-31,好友转发,104,187,13,14
2023-12-31,朋友圈,279,318,7,7
2023-12-31,朋友在看,36,36,1,2
2023-12-31,推荐,29,31,1,1
2023-12-31,搜一搜,1,1,0,0
2023-12-31,历史消息,7,8,1,2
2023-12-31,其他,1,1,0,0
2023-12-31,全部,476,607,25,28
2024-01-01,公众号消息,8,8,0,0
2024-01-01,好友转发,18,26,2,2
2024-01-01,朋友圈,153,166,7,8
2024-01-01,朋友在看,2,2,0,0
2024-01-01,推荐,25,25,2,2
2024-01-01,搜一搜,3,4,0,0
2024-01-01,历史消息,8,8,0,0
2024-01-01,其他,2,4,0,0
2024-01-01,全部,216,243,11,12
2024-01-02,公众号消息,8,8,1,1
2024-01-02,好友转发,19,25,0,0
2024-01-02,朋友圈,29,35,0,0
2024-01-02,推荐,20,21,0,0
2024-01-02,历史消息,6,6,0,0
2024-01-02,其他,1,1,0,0
2024-01-02,全部,83,96,1,1
2024-01-03,公众号消息,11,11,0,0
2024-01-03,好友转发,14,17,0,0
2024-01-03,朋友圈,15,15,0,0
2024-01-03,朋友在看,1,1,0,0
2024-01-03,推荐,22,22,0,0
2024-01-03,搜一搜,4,4,0,0
2024-01-03,历史消息,5,5,1,3
2024-01-03,其他,1,1,0,0
2024-01-03,全部,73,76,1,3
2024-01-04,公众号消息,11,11,0,0
2024-01-04,好友转发,6,8,1,1
2024-01-04,朋友圈,26,28,2,2
2024-01-04,推荐,12,12,0,0
2024-01-04,历史消息,2,6,0,0
2024-01-04,其他,1,1,0,0
2024-01-04,全部,57,66,3,3
