日期,传播渠道,阅读人数,阅读次数,分享人数,分享次数
2023-12-11,公众号消息,14466,15263,139,164
2023-12-11,好友转发,385,532,143,290
2023-12-11,朋友圈,1689,1812,27,36
2023-12-11,朋友在看,74,74,0,0
2023-12-11,推荐,3330,3446,3,3
2023-12-11,历史消息,81,96,5,8
2023-12-11,其他,78,91,6,10
2023-12-11,全部,19961,21314,311,511
2023-12-12,公众号消息,720,749,0,0
2023-12-12,好友转发,8,9,0,0
2023-12-12,朋友圈,60,61,0,0
2023-12-12,朋友在看,125,136,0,0
2023-12-12,推荐,2203,2266,2,2
2023-12-12,历史消息,31,34,0,0
2023-12-12,全部,3147,3255,2,2
2023-12-13,公众号消息,12,13,0,0
2023-12-13,好友转发,2,2,0,0
2023-12-13,朋友圈,4,4,0,0
2023-12-13,朋友在看,29,33,0,0
2023-12-13,推荐,11,11,1,2
2023-12-13,历史消息,13,14,0,0
2023-12-13,全部,71,77,1,2
2023-12-14,公众号消息,4,4,0,0
2023-12-14,朋友圈,1,1,0,0
2023-12-14,推荐,1,1,0,0
2023-12-14,搜一搜,2,2,0,0
2023-12-14,历史消息,4,5,0,0
2023-12-14,全部,12,13,0,0
2023-12-15,公众号消息,3,3,0,0
2023-12-15,朋友在看,1,1,0,0
2023-12-15,其他,1,1,0,0
2023-12-15,全部,5,5,0,0
2023-12-16,朋友圈,1,1,0,0
2023-12-16,历史消息,1,1,0,0
2023-12-16,全部,2,2,0,0
2023-12-17,公众号消息,1,1,0,0
2023-12-17,好友转发,1,1,0,0
2023-12-17,历史消息,4,4,0,0
2023-12-17,全部,6,6,0,0
